abcsissa,precision_mean,precision_std,recall_mean,recall_std
0.00847867126218693,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0.02069919709045778,0.0,0.0,0.0,0.0
0.01444256487321753,0.0,0.0,0.0,0.0
0.03407497377295703,0.0,0.0,0.0,0.0
0.04124309726720158,0.0,0.0,0.0,0.0
0.04875340979397999,0.0,0.0,0.0,0.0
0.02724956034185687,0.0,0.0,0.0,0.0
0.05648247144971155,0.0,0.0,0.0,0.0
0.08085586977681382,0.0,0.0,0.0,0.0
0.06442984662034186,0.0,0.0,0.0,0.0
0.07257304562870873,0.0,0.0,0.0,0.0
0.08932810473756746,0.0,0.0,0.0,0.0
0.09795264718668976,0.0,0.0,0.0,0.0
0.1067714928780041,0.0,0.0,0.0,0.0
0.115785157775559,0.0,0.0,0.0,0.0
0.1249670425945567,0.0,0.0,0.0,0.0
0.1343519707354945,0.0,0.0,0.0,0.0
0.1439126312863969,0.0,0.0,0.0,0.0
0.1536851954168442,0.0,0.0,0.0,0.0
0.1636399133214082,0.0,0.0,0.0,0.0
0.1738161159798937,0.0,0.0,0.0,0.0
0.184180121609546,0.0,0.0,0.0,0.0
0.1947754587013036,0.0,0.0,0.0,0.0
0.2056101317139743,0.0,0.0,0.0,0.0
0.2166393115463836,0.0,0.0,0.0,0.0
0.2279196138163445,0.0,0.0,0.0,0.0
0.2393961553637096,0.0,0.0,0.0,0.0
0.2511351436218341,0.0,0.0,0.0,0.0
0.2631217767939004,0.0,0.0,0.0,0.0
0.2753302857896892,0.0,0.0,0.0,0.0
0.2878221732472351,0.0,0.0,0.0,0.0
0.3005522536851158,0.0,0.0,0.0,0.0
0.3135293879508489,0.0,0.0,0.0,0.0
0.3268067260745725,0.0,0.0,0.0,0.0
0.3402431405552181,0.0,0.0,0.0,0.0
0.353553515130844,0.0,0.0,0.0,0.0
0.3662590677381747,0.0,0.0,0.0,0.0
0.3778548462947648,0.0,0.0,0.0,0.0
0.3884325289826553,0.0,0.0,0.0,0.0
0.3981058459391542,0.0,0.0,0.0,0.0
0.4067972232053819,0.0,0.0,0.0,0.0
0.4147817897378231,0.0,0.0,0.0,0.0
0.4219805251307858,0.0,0.0,0.0,0.0
0.4285202731316989,0.0,0.0,0.0,0.0
0.4344725237620121,0.0,0.0,0.0,0.0
0.4398170637951847,0.0,0.0,0.0,0.0
0.4447705218472457,0.0,0.0,0.0,0.0
0.4491705355359698,0.0,0.0,0.0,0.0
0.4532667390523739,0.135,0.2720753572082558,0.0,0.0
0.4569697702871844,0.0,0.0,0.07777777777777778,0.23333333333333334
0.4601759933114536,0.058333333333333334,0.175,0.06666666666666667,0.19999999999999998
